job_id,position,study_id,status,participant,iteration,level,title,Module,Sound1,Sound2,timestamp,aborted_trial,trial_correct,Position_Target,participant_name,response_to_first,time_rewardfortouch,response_time_delay_1,response_time_delay_2
1341,57,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Avg16.wav,Coo_16_25.wav,2023-08-16 17:06:20,0,1,1,RACAILLE,1,NA,511,NA
1335,51,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Avg16.wav,Coo_16_50.wav,2023-08-16 17:06:25,0,1,1,RACAILLE,1,NA,499,NA
1290,6,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Coo_08_75.wav,Avg16.wav,2023-08-16 17:06:30,0,1,2,RACAILLE,0,34179978,1000,138
1328,44,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_15_50.wav,Avg16.wav,2023-08-16 17:11:24,0,1,2,RACAILLE,0,1934792509,1000,194
1298,14,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Coo_08_75.wav,Avg16.wav,2023-08-16 17:14:29,0,1,2,RACAILLE,0,1935020713,1000,140
1310,26,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_12_25.wav,Avg16.wav,2023-08-16 17:14:36,0,1,2,RACAILLE,0,1934985289,1000,243
1311,27,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_12_50.wav,2023-08-16 17:14:42,0,1,1,RACAILLE,1,NA,748,NA
1347,63,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_16.wav,2023-08-16 17:14:47,0,1,1,RACAILLE,1,NA,901,NA
1294,10,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Coo_08_25.wav,Avg16.wav,2023-08-16 17:14:55,0,1,2,RACAILLE,0,34684445,1001,751
1295,11,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_08_50.wav,2023-08-16 17:17:18,0,1,1,RACAILLE,1,NA,521,NA
1342,58,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_16_25.wav,Avg16.wav,2023-08-16 17:17:26,0,1,2,RACAILLE,0,1935155079,1000,266
1303,19,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Avg16.wav,Coo_12_50.wav,2023-08-16 17:17:39,0,1,1,RACAILLE,1,NA,590,NA
1340,56,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Coo_16.wav,Avg16.wav,2023-08-16 18:08:45,0,1,2,RACAILLE,0,37915195,1000,171
1344,60,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_16_50.wav,Avg16.wav,2023-08-16 18:08:52,0,1,2,RACAILLE,0,1938240455,1000,184
1319,35,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_15_50.wav,2023-08-16 18:09:02,0,1,1,RACAILLE,1,NA,574,NA
1326,42,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_15_25.wav,Avg16.wav,2023-08-16 18:09:10,0,1,2,RACAILLE,0,1938258428,1000,329
